objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Azul: Master Chocolatier","363247","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","94415130","6.82665","7.85196","1.7865","726","8258","thing","Azul: Master Chocolatier","2","4","45","45","30","2022","2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Azul: Queen's Garden","346965","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122737426","6.85964","7.42545","2.9221","675","14039","thing","Azul: Queen's Garden","2","4","60","60","45","2021","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Azul: Stained Glass of Sintra","256226","8","0","0","0","0","0","0","0","1","0","0","3","","","","","","69940266","6.99244","7.28138","2.0129","513","25466","thing","Azul: Stained Glass of Sintra","2","4","45","45","30","2018","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Blueprints of Mad King Ludwig","376610","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115696180","5.88417","7.35121","2.8182","4020","1915","thing","Blueprints of Mad King Ludwig","1","5","60","60","60","2024","1,2,3,4,5","4","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Camel Up","153938","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","62626231","6.87556","7.02874","1.502","648","38036","thing","Camel Up","2","8","30","30","20","2014","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Camel Up: Supercup","172380","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","62627067","6.4432","7.33058","1.7241","0","9238","thing","Camel Up: Supercup","2","10","45","45","30","2015","3,4,5,6,7,8","5,6","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Canasta","17104","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","120489100","5.85113","6.44092","2.1351","4303","2246","thing","Canasta","2","6","45","45","45","1939","2,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cards Against Disney","333515","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867264","5.49469","5.53359","1","27327","679","thing","Cards Against Disney","4","20","60","60","30","2018","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Cards Against Humanity","50381","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","62626419","5.53009","5.70023","1.1717","16742","56954","thing","Cards Against Humanity","4","30","30","30","30","2009","4,5,6,7,8,9,10","6,7,8","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Cascadia","295947","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","102982236","7.73359","7.88603","1.8434","60","94397","thing","Cascadia","1","4","45","45","30","2021","1,2,3,4","2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Alderac Entertainment Group; Flatout Games","English","2021","English edition"
"Cascadia: Kickstarter Promo Cards","343277","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","102982251","6.06435","7.72918","1.9091","0","5397","thing","Cascadia: Kickstarter Promo Cards","1","4","45","45","30","2021","1,2,3,4","2,3","6+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","Alderac Entertainment Group; Flatout Games","English","2021","English edition"
"The Castles of Burgundy","271320","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867049","8.0143","8.45452","2.9128","0","31036","thing","The Castles of Burgundy","1","4","120","120","70","2019","1,2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Catan","13","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","62626338","6.90222","7.09055","2.2813","625","242318","thing","Catan","3","4","120","120","60","1995","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Catan: 5-6 Player Expansion","2807","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","62626348","6.68991","6.982","2.3105","0","56737","thing","Catan: 5-6 Player Expansion","5","6","120","120","120","1996","4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Catan: Cities & Knights","926","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","62626342","7.14903","7.45301","2.8964","0","49446","thing","Catan: Cities & Knights","3","4","150","150","90","1998","3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Catan: Cities & Knights – 5-6 Player Extension","4101","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","62626347","6.46273","7.15112","2.7439","0","14065","thing","Catan: Cities & Knights – 5-6 Player Extension","5","6","120","120","120","2000","4,5,6","6","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Catan: Seafarers","325","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","62626352","6.90918","7.16388","2.3746","0","52734","thing","Catan: Seafarers","3","4","90","90","90","1997","3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Catan: Seafarers – 5-6 Player Extension","4103","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","62626344","6.42679","7.00848","2.4201","0","15872","thing","Catan: Seafarers – 5-6 Player Extension","5","6","120","120","120","1999","5,6","5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Cockroach Poker Royal","129736","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","99688957","6.49834","7.0162","1.1406","1339","9785","thing","Cockroach Poker Royal","2","6","25","25","15","2012","3,4,5,6","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Codenames","178900","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","95806953","7.42734","7.52432","1.2542","161","181845","thing","Codenames","2","8","15","15","15","2015","4,5,6,7,8","6,8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Codenames: Duet","224037","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867282","7.23309","7.40647","1.3592","275","56682","thing","Codenames: Duet","2","2","30","30","15","2017","2","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Codex Naturalis","314503","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","74343187","6.70763","7.21894","1.7628","907","13098","thing","Codex Naturalis","1","4","30","30","20","2021","2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dead of Winter: A Crossroads Game","150376","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","62628140","7.26953","7.43738","3.0149","255","69760","thing","Dead of Winter: A Crossroads Game","2","5","120","120","60","2014","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dinosaur Island: Rawr 'n Write","318009","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","86429173","6.89428","7.65045","2.8559","631","11533","thing","Dinosaur Island: Rawr 'n Write","1","4","45","45","30","2021","1,2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","2021-10-09","","","","","","Pandasaurus Games","English","2021","English edition"
"Dinosaur World","317457","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","86429171","6.64467","7.3119","3.2733","1019","11572","thing","Dinosaur World","2","4","120","120","60","2021","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","2021-10-09","","","","","","Pandasaurus Games","English","2021","English edition"
"Dinosaur World: Add On Pack","347524","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","86429134","5.61392","7.96192","0","0","1423","thing","Dinosaur World: Add On Pack","1","4","120","120","60","2021","1,2,3,4","1","","","","","","","","expansion","","","","","","2021-10-09","","","","","","","","",""
"Dinosaur World: Hybrid Pack","321109","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","86429091","5.68841","7.5855","3.5","0","3388","thing","Dinosaur World: Hybrid Pack","2","4","120","120","60","2021","","","12+","","","","","","","expansion","","","","","","2021-10-09","","","","","","","","",""
"Dinosaur World: Ice Age Pack","322383","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","86429108","5.71134","7.75756","3.5","0","3351","thing","Dinosaur World: Ice Age Pack","2","4","120","120","60","2021","","","12+","","","","","","","expansion","","","","","","2021-10-09","","","","","","","","",""
"Dinosaur World: Recruiter Promo Card","342040","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","86429116","5.56342","7.24608","4","0","1537","thing","Dinosaur World: Recruiter Promo Card","2","4","120","120","60","2021","","","","","","","","","","expansion","","","","","","2021-10-09","","","","","","","","",""
"Dinosaur World: Water Pack","321336","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","86429099","5.6736","7.35005","3.75","0","3416","thing","Dinosaur World: Water Pack","2","4","120","120","60","2021","","","12+","","","","","","","expansion","","","","","","2021-10-09","","","","","","","","",""
"Dog Park","331401","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","96911336","6.31232","6.87189","2.1618","1836","8957","thing","Dog Park","1","4","80","80","40","2022","1,2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","2022-08-17","Birdwood Games","English","2022","English edition"
"Dog Park: European Dogs Expansion","346847","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","96911346","5.67755","7.3588","2","0","2356","thing","Dog Park: European Dogs Expansion","1","4","80","80","40","2022","1,2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Dog Park: Famous Dogs Expansion","346845","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","96911342","5.67628","7.43427","2","0","2338","thing","Dog Park: Famous Dogs Expansion","1","4","80","80","40","2022","1,2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Dominion","36218","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","63709561","7.47412","7.59753","2.3444","146","131085","thing","Dominion","2","4","30","30","30","2008","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Endeavor: Deep Sea","367966","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122352952","7.68845","8.21499","2.9277","72","16533","thing","Endeavor: Deep Sea","1","4","120","120","60","2024","1,2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Burnt Island Games; Grand Gamers Guild","English","2024","English edition"
"Ethnos","206718","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","62626304","7.16434","7.45497","2.1091","339","16760","thing","Ethnos","2","6","60","60","45","2017","2,3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – Dead Man on the Orient Express","226522","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","94562740","6.9093","7.52628","2.6354","610","11264","thing","EXIT: The Game – Dead Man on the Orient Express","1","4","120","120","60","2017","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Exploding Kittens: NSFW Edition","172242","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","62629395","5.95814","6.23029","1.0823","3461","33268","thing","Exploding Kittens: NSFW Edition","2","5","20","20","10","2015","3,4,5","4,5","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"A Fake Artist Goes to New York","135779","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","106148450","6.79576","7.10315","1.0968","765","20904","thing","A Fake Artist Goes to New York","5","10","20","20","20","2011","5,6,7,8,9,10","6,7","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Farms Race","395181","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119061963","5.72983","7.43392","2.3333","5809","981","thing","Farms Race","2","4","120","120","60","2024","3,4","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fjords","322564","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","94508141","6.00512","6.92615","1.5122","3162","3170","thing","Fjords","2","4","45","45","30","2022","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","2022-05-28","","","","","","Grail Games; Matagot","English; French","2022","English/French kickstarter edition"
"Flamme Rouge","199478","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122352954","7.21626","7.47643","1.7021","286","25805","thing","Flamme Rouge","2","4","45","45","30","2019","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Lautapelit.fi; Stronghold Games","English","2019","English edition 2019"
"Fliptown","352418","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90616538","6.73874","7.75365","2.4","854","7036","thing","Fliptown","1","4","45","45","30","2023","1,2,3,4","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Write Stuff Games","English","2023","English edition"
"Game of Thrones: Westeros Intrigue","155693","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867345","5.42945","5.33654","1.0714","30605","2908","thing","Game of Thrones: Westeros Intrigue","2","6","30","30","15","2014","3,4,5,6","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Gloomhaven: Buttons & Bugs","393672","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119061959","6.71413","7.48065","3.3333","896","18131","thing","Gloomhaven: Buttons & Bugs","1","1","20","20","20","2024","1","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Gloomhaven: Jaws of the Lion","291457","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","84808099","8.09278","8.35496","3.641","12","89669","thing","Gloomhaven: Jaws of the Lion","1","4","120","120","30","2020","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Cephalofair Games","English","2020","English edition"
"Good Dog, Bad Zombie","238182","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","62626267","5.6059","7.23296","2","9176","631","thing","Good Dog, Bad Zombie","2","4","90","90","60","2018","1,2,3,4","4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Good Dog, Bad Zombie: Weird Smells","280689","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","62626265","0","9.07692","0","0","158","thing","Good Dog, Bad Zombie: Weird Smells","2","4","90","90","60","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Good Dog, Bad Zombies: Unlikely Allies","299799","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867316","0","9.33333","0","0","111","thing","Good Dog, Bad Zombies: Unlikely Allies","2","4","90","90","60","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Hadrian's Wall","304783","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","106148472","7.40891","7.8697","3.1751","173","17802","thing","Hadrian's Wall","1","6","60","60","30","2021","1,2,3","1","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Hadrian's Wall: Actor","351916","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","106361874","5.5775","8.11351","0","0","792","thing","Hadrian's Wall: Actor","1","6","60","60","30","2022","","","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Hadrian's Wall: New Fates","369312","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","106361871","5.57063","7.95672","0","0","786","thing","Hadrian's Wall: New Fates","1","6","60","0","60","2023","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Harry Potter: Hogwarts Battle","199042","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","62626857","7.04542","7.33092","2.0869","456","45934","thing","Harry Potter: Hogwarts Battle","2","4","60","60","30","2016","2,3,4","2,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Harry Potter: Hogwarts Battle – The Monster Box of Monsters Expansion","223494","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129813632","6.64684","7.58929","2.6406","0","16813","thing","Harry Potter: Hogwarts Battle – The Monster Box of Monsters Expansion","2","4","60","60","30","2017","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"High Frontier 4 All","281655","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","95711762","6.83858","8.34456","4.8193","708","6471","thing","High Frontier 4 All","1","5","240","240","30","2020","1,2,3,4","3","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Ion Game Design; Sierra Madre Games","English","2020","English edition, first printing"
"Kelp: Brilliant Behaviours Mini Expansion Set","405987","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122737388","5.64852","7.8649","2.25","0","3132","thing","Kelp: Brilliant Behaviours Mini Expansion Set","2","2","60","60","45","2024","2","2","12+","","","","","","","expansion","","","","","","","","","","","","Wonderbow Games","English","2024","English edition"
"Kelp: New Pursuits Mini Expansion","405986","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122737380","5.56666","7.42111","1.6667","0","1918","thing","Kelp: New Pursuits Mini Expansion","2","2","60","60","45","2024","2","2","8+","","","","","","","expansion","","","","","","","","","","","","Wonderbow Games","English","2024","English edition"
"Kelp: Shark vs Octopus","374595","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122737371","6.63521","7.48975","2.4545","1041","9121","thing","Kelp: Shark vs Octopus","2","2","60","60","40","2024","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Wonderbow Games","English","2024","English edition"
"Key Enigma: Calling Card","351622","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","96367265","5.54211","7.22097","2","14459","246","thing","Key Enigma: Calling Card","1","6","960","960","480","2021","1,2","1","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Key Enigma: Hack Forward","304983","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","96367268","5.63359","7.97697","3","8038","501","thing","Key Enigma: Hack Forward","1","6","960","960","480","2021","1,2,3","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Key Enigma: Kalinasu Adventure","357928","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","96367254","5.54264","7.50189","3","14374","221","thing","Key Enigma: Kalinasu Adventure","1","6","240","240","240","2022","1,2","1","14+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Kill The Unicorns","204602","3","0","0","1","0","0","0","0","0","0","0","3","","","","","","63027097","5.72636","6.80708","1.7727","5862","2453","thing","Kill The Unicorns","3","6","45","45","25","2019","3,4,5,6","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Last Will","97842","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","95718990","6.85841","7.16162","2.7157","677","12894","thing","Last Will","2","5","75","75","45","2011","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Last Will: Getting Sacked","143063","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","95718987","6.11709","7.52039","2.6744","0","4113","thing","Last Will: Getting Sacked","2","5","75","75","45","2013","2,3,4,5","4","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Life of the Amazonia","368305","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","108383881","7.02523","8.08456","2.8658","473","6862","thing","Life of the Amazonia","1","4","150","150","60","2023","1,2,3","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Bad Comet","English","2023","English edition"
"Love Letter","129622","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","62628180","7.12263","7.22619","1.1844","370","118236","thing","Love Letter","2","4","20","20","20","2012","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Lovelace & Babbage","257056","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867286","5.75978","6.65539","2.3333","5335","2039","thing","Lovelace & Babbage","2","4","30","30","15","2019","2,3,4","3","14+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Micro City (Second Edition)","276779","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867351","5.73045","6.62753","1.9655","5796","2186","thing","Micro City (Second Edition)","1","2","30","30","10","2020","1,2","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Mint Control","299249","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119061995","5.4819","5.4269","2.1667","29151","2793","thing","Mint Control","2","4","30","30","15","2020","3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mint Cooperative","282765","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867384","5.62221","6.01127","1.95","8445","4721","thing","Mint Cooperative","1","4","30","30","15","2020","1,2,3,4","1,2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mint Delivery","230251","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867381","5.81874","6.15445","1.6316","4618","8823","thing","Mint Delivery","1","5","30","30","15","2017","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mint Works","200077","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80867379","6.51166","6.88407","1.7308","1311","14985","thing","Mint Works","1","4","20","20","10","2017","1,2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Mosaic: A Story of Civilization","329551","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","99688918","6.80902","7.46003","3.0541","749","8890","thing","Mosaic: A Story of Civilization","2","6","120","120","120","2022","3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Munchkin","1927","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","80867063","5.69284","5.87446","1.8182","6497","103572","thing","Munchkin","3","6","120","120","60","2001","3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Obsession","231733","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","64967340","7.71898","8.0744","3.1141","67","26097","thing","Obsession","1","4","90","90","30","2018","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Obsession: Characters Expansion","397067","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124129716","6.00013","8.38523","3.6","0","5114","thing","Obsession: Characters Expansion","1","6","180","180","30","2024","1,2,3","1,2","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Kayenta Games","English","2024","English 1P edition"
"Obsession: Promotional Cards","284466","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80866979","5.80163","8.20589","3.5","0","1825","thing","Obsession: Promotional Cards","1","4","90","90","30","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Obsession: Promotional Tiles","306634","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80866982","6.08332","8.1442","3.7143","0","5992","thing","Obsession: Promotional Tiles","1","4","120","120","30","2020","1,2,3","2","14+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
